/* DATA DESCRIPTION:
Citation:	Lamy, Frank (2024): Pacific Antarctic Cirumpolar Current strength at Site PS75/076 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.965447, 
	In: Lamy, F (2024): Pacific Antarctic Cirumpolar Current strength reconstrucion [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.965443
Abstract:	The data contain the ACC strength record at site PS75/076. The absolute ACC strength record was calculated from sortable silt data using a formula from the Scotia Sea by McCave et al. (2017). The sortable silt record was calculated from ln(Zr/Rb) using a regional calibration from discrete grain-size measurement . The ln(Zr(/Rb record was interpolated to 0.5 kyr and 9-point adjacent averaged.
Keyword(s):	Age model; Stratigraphy
Related to:	McCave, I Nicholas; Thornalley, David J R; Hall, Ian R (2017): Relation of sortable silt grain-size to deep-sea current speeds: Calibration of the 'Mud Current Meter'. Deep Sea Research Part I: Oceanographic Research Papers, 127, 1-12, https://doi.org/10.1016/j.dsr.2017.07.003
Coverage:	LATITUDE: -55.528500 * LONGITUDE: -156.139830
	DATE/TIME START: 2010-01-01T13:59:00 * DATE/TIME END: 2010-01-01T13:59:00
	MINIMUM ELEVATION: -3742.0 m * MAXIMUM ELEVATION: -3742.0 m
Event(s):	PS75/076-2 * LATITUDE: -55.528500 * LONGITUDE: -156.139830 * DATE/TIME: 2010-01-01T13:59:00 * ELEVATION: -3742.0 m * RECOVERY: 20.95 m * LOCATION: South Pacific Ocean * CAMPAIGN: ANT-XXVI/2 (PS75 BIPOMAC) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Piston corer (BGR type) (KL) * COMMENT: TC 0.65m
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Lamy, Frank (https://orcid.org/0000-0001-5952-1765, frank.lamy@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/frank-lamy.html)
	ln-Zirconium/Rubidium ratio (ln(Zr/Rb)) * PI: Lamy, Frank (https://orcid.org/0000-0001-5952-1765, frank.lamy@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/frank-lamy.html)
	Sortable-silt mean [µm] (SS) * PI: Lamy, Frank (https://orcid.org/0000-0001-5952-1765, frank.lamy@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/frank-lamy.html)
	Antarctic Circumpolar Current, strength [m/s] (ACC strength) * PI: Lamy, Frank (https://orcid.org/0000-0001-5952-1765, frank.lamy@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/frank-lamy.html)
	Antarctic Circumpolar Current, strength [%] (ACC strength) * PI: Lamy, Frank (https://orcid.org/0000-0001-5952-1765, frank.lamy@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/frank-lamy.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	7796 data points
*/
Age [ka BP]	ln(Zr/Rb)	SS [µm]	ACC strength [m/s]	ACC strength [%]
38.5	0.9700	15.1655	4.9755	79.480
39.0	0.9966	15.2296	5.0841	81.216
39.5	1.0386	15.3307	5.2554	83.952
40.0	1.0882	15.4501	5.4578	87.185
40.5	1.1283	15.5466	5.6214	89.799
41.0	1.1471	15.5919	5.6982	91.026
41.5	1.1484	15.5950	5.7034	91.108
42.0	1.1419	15.5793	5.6768	90.684
42.5	1.1320	15.5556	5.6366	90.042
43.0	1.1177	15.5211	5.5782	89.108
43.5	1.0986	15.4751	5.5002	87.863
44.0	1.0803	15.4310	5.4255	86.669
44.5	1.0651	15.3944	5.3634	85.677
45.0	1.0447	15.3453	5.2802	84.348
45.5	1.0274	15.3037	5.2096	83.221
46.0	1.0194	15.2844	5.1769	82.698
46.5	1.0156	15.2752	5.1614	82.451
47.0	1.0171	15.2789	5.1676	82.549
47.5	1.0279	15.3048	5.2115	83.251
48.0	1.0387	15.3309	5.2557	83.957
48.5	1.0300	15.3099	5.2202	83.389
49.0	1.0108	15.2636	5.1417	82.136
49.5	1.0127	15.2683	5.1497	82.264
50.0	1.0352	15.3224	5.2413	83.726
50.5	1.0563	15.3732	5.3275	85.104
51.0	1.0721	15.4112	5.3919	86.132
51.5	1.0806	15.4318	5.4267	86.689
52.0	1.0794	15.4289	5.4218	86.611
52.5	1.0813	15.4333	5.4294	86.732
53.0	1.1002	15.4790	5.5068	87.967
53.5	1.1234	15.5349	5.6015	89.480
54.0	1.1275	15.5447	5.6181	89.745
54.5	1.1165	15.5183	5.5734	89.032
55.0	1.1071	15.4956	5.5349	88.418
55.5	1.0973	15.4721	5.4950	87.780
56.0	1.0862	15.4453	5.4497	87.056
56.5	1.0853	15.4431	5.4459	86.995
57.0	1.0943	15.4646	5.4824	87.579
57.5	1.1024	15.4842	5.5157	88.110
58.0	1.1071	15.4955	5.5347	88.413
58.5	1.1087	15.4993	5.5413	88.519
59.0	1.1089	15.4999	5.5423	88.535
59.5	1.1079	15.4974	5.5380	88.467
60.0	1.1073	15.4960	5.5355	88.427
60.5	1.1073	15.4961	5.5358	88.431
61.0	1.0962	15.4693	5.4904	87.705
61.5	1.0709	15.4083	5.3870	86.054
62.0	1.0421	15.3390	5.2696	84.178
62.5	1.0140	15.2714	5.1549	82.347
63.0	0.9861	15.2043	5.0413	80.531
63.5	0.9454	15.1061	4.8748	77.872
64.0	0.9213	15.0483	4.7767	76.305
64.5	0.9198	15.0446	4.7706	76.207
65.0	0.9008	14.9990	4.6931	74.970
65.5	0.8950	14.9850	4.6695	74.593
66.0	0.8865	14.9643	4.6345	74.033
66.5	0.8759	14.9388	4.5912	73.343
67.0	0.8831	14.9563	4.6208	73.815
67.5	0.8971	14.9899	4.6777	74.724
68.0	0.9211	15.0477	4.7758	76.291
68.5	0.9070	15.0139	4.7185	75.375
69.0	0.8769	14.9413	4.5954	73.409
69.5	0.9179	15.0399	4.7626	76.079
70.0	0.9426	15.0995	4.8636	77.693
70.5	1.0014	15.2410	5.1035	81.525
71.0	1.0776	15.4244	5.4143	86.490
71.5	1.1113	15.5057	5.5520	88.691
72.0	1.1318	15.5550	5.6355	90.024
72.5	1.1492	15.5969	5.7065	91.159
73.0	1.2214	15.7707	6.0011	95.865
73.5	1.2639	15.8731	6.1747	98.637
74.0	1.2565	15.8552	6.1444	98.153
74.5	1.2462	15.8305	6.1025	97.485
75.0	1.2381	15.8109	6.0694	96.955
75.5	1.2432	15.8232	6.0901	97.286
76.0	1.2783	15.9077	6.2334	99.575
76.5	1.2941	15.9459	6.2981	100.608
77.0	1.3712	16.1313	6.6124	105.630
77.5	1.3857	16.1663	6.6717	106.576
78.0	1.4681	16.3648	7.0081	111.950
78.5	1.5059	16.4559	7.1625	114.416
79.0	1.5683	16.6060	7.4169	118.481
79.5	1.5878	16.6530	7.4967	119.755
80.0	1.5755	16.6234	7.4464	118.953
80.5	1.6168	16.7228	7.6149	121.644
81.0	1.6265	16.7461	7.6545	122.276
81.5	1.5992	16.6805	7.5432	120.498
82.0	1.6249	16.7423	7.6480	122.172
82.5	1.6237	16.7394	7.6431	122.094
83.0	1.6261	16.7453	7.6530	122.252
83.5	1.6206	16.7319	7.6303	121.890
84.0	1.6033	16.6903	7.5599	120.765
84.5	1.6081	16.7019	7.5795	121.078
85.0	1.5403	16.5385	7.3026	116.655
85.5	1.5115	16.4691	7.1850	114.776
86.0	1.4690	16.3668	7.0115	112.006
86.5	1.3997	16.1999	6.7287	107.487
87.0	1.3264	16.0237	6.4300	102.715
87.5	1.2518	15.8439	6.1253	97.848
88.0	1.2412	15.8183	6.0819	97.155
88.5	1.2115	15.7470	5.9610	95.223
89.0	1.1847	15.6825	5.8517	93.478
89.5	1.2121	15.7483	5.9632	95.259
90.0	1.2543	15.8500	6.1356	98.013
90.5	1.3190	16.0058	6.3997	102.231
91.0	1.3325	16.0383	6.4547	103.111
91.5	1.3721	16.1336	6.6163	105.692
92.0	1.4136	16.2335	6.7856	108.396
92.5	1.3718	16.1329	6.6150	105.671
93.0	1.4677	16.3639	7.0066	111.926
93.5	1.4493	16.3195	6.9314	110.726
94.0	1.4169	16.2415	6.7992	108.614
94.5	1.3917	16.1807	6.6962	106.967
95.0	1.3156	15.9977	6.3859	102.011
95.5	1.2850	15.9239	6.2608	100.013
96.0	1.2205	15.7686	5.9977	95.810
96.5	1.2388	15.8127	6.0724	97.003
97.0	1.2225	15.7735	6.0059	95.941
97.5	1.1440	15.5844	5.6854	90.820
98.0	1.1887	15.6921	5.8679	93.737
98.5	1.1881	15.6907	5.8656	93.699
99.0	1.1942	15.7052	5.8901	94.091
99.5	1.1788	15.6682	5.8274	93.089
100.0	1.2166	15.7591	5.9816	95.552
100.5	1.2387	15.8124	6.0719	96.996
101.0	1.2222	15.7726	6.0044	95.916
101.5	1.2286	15.7882	6.0308	96.338
102.0	1.1949	15.7070	5.8933	94.142
102.5	1.1673	15.6406	5.7807	92.343
103.0	1.1718	15.6513	5.7988	92.633
103.5	1.1276	15.5448	5.6183	89.750
104.0	1.1677	15.6415	5.7821	92.366
104.5	1.1607	15.6246	5.7536	91.911
105.0	1.1650	15.6351	5.7713	92.194
105.5	1.1689	15.6442	5.7869	92.442
106.0	1.1743	15.6574	5.8092	92.799
106.5	1.2419	15.8202	6.0850	97.205
107.0	1.2184	15.7635	5.9891	95.672
107.5	1.1893	15.6935	5.8704	93.776
108.0	1.2302	15.7920	6.0373	96.443
108.5	1.2277	15.7859	6.0270	96.277
109.0	1.2224	15.7731	6.0053	95.931
109.5	1.2101	15.7435	5.9551	95.130
110.0	1.2276	15.7857	6.0266	96.272
110.5	1.2735	15.8962	6.2140	99.265
111.0	1.2430	15.8228	6.0894	97.275
111.5	1.2764	15.9031	6.2256	99.451
112.0	1.3299	16.0320	6.4441	102.941
112.5	1.4064	16.2162	6.7562	107.926
113.0	1.4913	16.4205	7.1026	113.460
113.5	1.5673	16.6035	7.4128	118.415
114.0	1.6130	16.7136	7.5993	121.394
114.5	1.6090	16.7041	7.5832	121.137
115.0	1.5926	16.6644	7.5159	120.063
115.5	1.6023	16.6878	7.5556	120.696
116.0	1.6096	16.7055	7.5856	121.175
116.5	1.5962	16.6732	7.5308	120.300
117.0	1.5353	16.5266	7.2824	116.333
117.5	1.4773	16.3870	7.0457	112.552
118.0	1.4407	16.2989	6.8964	110.166
118.5	1.4385	16.2935	6.8873	110.021
119.0	1.4563	16.3363	6.9599	111.181
119.5	1.4947	16.4289	7.1167	113.686
120.0	1.5326	16.5199	7.2711	116.152
120.5	1.5578	16.5807	7.3740	117.796
121.0	1.5490	16.5594	7.3380	117.221
121.5	1.5392	16.5360	7.2982	116.585
122.0	1.5416	16.5418	7.3081	116.743
122.5	1.5683	16.6059	7.4168	118.478
123.0	1.6083	16.7023	7.5801	121.088
123.5	1.6422	16.7839	7.7185	123.298
124.0	1.6422	16.7838	7.7183	123.296
124.5	1.6359	16.7688	7.6928	122.889
125.0	1.6475	16.7966	7.7400	123.642
125.5	1.6983	16.9190	7.9474	126.955
126.0	1.7545	17.0542	8.1767	130.618
126.5	1.8020	17.1687	8.3707	133.717
127.0	1.7372	17.0126	8.1061	129.491
127.5	1.7091	16.9449	7.9914	127.658
128.0	1.6992	16.9211	7.9510	127.013
128.5	1.6509	16.8050	7.7542	123.869
129.0	1.6150	16.7183	7.6073	121.523
129.5	1.5911	16.6609	7.5100	119.968
130.0	1.5556	16.5754	7.3651	117.653
130.5	1.5229	16.4967	7.2317	115.523
131.0	1.4722	16.3745	7.0246	112.214
131.5	1.4993	16.4398	7.1353	113.983
132.0	1.4404	16.2981	6.8950	110.144
132.5	1.3594	16.1031	6.5647	104.867
133.0	1.3817	16.1568	6.6556	106.319
133.5	1.3518	16.0848	6.5336	104.371
134.0	1.2973	15.9536	6.3112	100.818
134.5	1.2564	15.8551	6.1443	98.152
135.0	1.1808	15.6731	5.8358	93.223
135.5	1.1098	15.5020	5.5457	88.590
136.0	1.0474	15.3518	5.2912	84.523
136.5	1.0311	15.3125	5.2247	83.461
137.0	1.0225	15.2920	5.1898	82.904
137.5	0.9651	15.1536	4.9553	79.158
138.0	0.9526	15.1236	4.9045	78.346
138.5	0.9384	15.0893	4.8462	77.416
139.0	0.9105	15.0221	4.7324	75.598
139.5	0.9178	15.0398	4.7624	76.077
140.0	0.9385	15.0896	4.8468	77.425
140.5	0.9509	15.1195	4.8974	78.234
141.0	0.9470	15.1101	4.8815	77.979
141.5	0.9564	15.1328	4.9200	78.593
142.0	0.9589	15.1388	4.9302	78.758
142.5	0.9477	15.1118	4.8844	78.026
143.0	0.9294	15.0677	4.8097	76.833
143.5	0.9313	15.0724	4.8176	76.959
144.0	0.8991	14.9948	4.6862	74.859
144.5	0.8830	14.9561	4.6205	73.809
145.0	0.8736	14.9335	4.5821	73.197
145.5	0.8518	14.8810	4.4932	71.776
146.0	0.8425	14.8584	4.4550	71.166
146.5	0.8317	14.8325	4.4109	70.462
147.0	0.8343	14.8387	4.4215	70.631
147.5	0.8254	14.8172	4.3851	70.050
148.0	0.8117	14.7843	4.3293	69.158
148.5	0.8100	14.7803	4.3226	69.051
149.0	0.8018	14.7605	4.2889	68.513
149.5	0.7942	14.7422	4.2579	68.018
150.0	0.8139	14.7897	4.3385	69.305
150.5	0.7968	14.7485	4.2686	68.189
151.0	0.7960	14.7465	4.2652	68.134
151.5	0.7914	14.7354	4.2464	67.834
152.0	0.7975	14.7502	4.2716	68.236
152.5	0.8074	14.7740	4.3119	68.880
153.0	0.8191	14.8021	4.3594	69.639
153.5	0.8296	14.8274	4.4024	70.326
154.0	0.8337	14.8373	4.4191	70.592
154.5	0.8290	14.8261	4.4001	70.290
155.0	0.8121	14.7853	4.3311	69.187
155.5	0.8096	14.7794	4.3209	69.025
156.0	0.7983	14.7520	4.2746	68.285
156.5	0.8054	14.7692	4.3037	68.749
157.0	0.8083	14.7761	4.3154	68.937
157.5	0.8091	14.7782	4.3189	68.992
158.0	0.7898	14.7315	4.2398	67.729
158.5	0.7755	14.6972	4.1818	66.802
159.0	0.7798	14.7076	4.1993	67.082
159.5	0.7928	14.7389	4.2524	67.930
160.0	0.7985	14.7526	4.2757	68.301
160.5	0.8151	14.7925	4.3432	69.381
161.0	0.8165	14.7958	4.3489	69.471
161.5	0.8038	14.7652	4.2969	68.641
162.0	0.8171	14.7974	4.3516	69.514
162.5	0.8381	14.8479	4.4371	70.880
163.0	0.8449	14.8642	4.4647	71.321
163.5	0.8343	14.8386	4.4214	70.630
164.0	0.8263	14.8195	4.3891	70.113
164.5	0.8234	14.8124	4.3769	69.919
165.0	0.8223	14.8099	4.3727	69.852
165.5	0.8321	14.8335	4.4127	70.491
166.0	0.8493	14.8749	4.4829	71.611
166.5	0.8539	14.8860	4.5017	71.912
167.0	0.8778	14.9435	4.5992	73.470
167.5	0.8678	14.9195	4.5585	72.819
168.0	0.8784	14.9449	4.6014	73.506
168.5	0.8946	14.9840	4.6678	74.566
169.0	0.8929	14.9800	4.6609	74.456
169.5	0.8808	14.9507	4.6113	73.663
170.0	0.8660	14.9152	4.5512	72.702
170.5	0.8809	14.9510	4.6119	73.673
171.0	0.8649	14.9125	4.5466	72.629
171.5	0.8189	14.8016	4.3587	69.628
172.0	0.8212	14.8071	4.3680	69.776
172.5	0.8063	14.7714	4.3074	68.809
173.0	0.8241	14.8142	4.3799	69.967
173.5	0.8247	14.8157	4.3825	70.007
174.0	0.8368	14.8448	4.4319	70.797
174.5	0.8719	14.9293	4.5750	73.083
175.0	0.8469	14.8690	4.4728	71.451
175.5	0.8307	14.8300	4.4069	70.397
176.0	0.8367	14.8446	4.4315	70.791
176.5	0.8552	14.8890	4.5068	71.993
177.0	0.8721	14.9297	4.5757	73.095
177.5	0.8552	14.8891	4.5069	71.995
178.0	0.8486	14.8731	4.4798	71.563
178.5	0.8532	14.8842	4.4987	71.864
179.0	0.8459	14.8668	4.4691	71.391
179.5	0.8589	14.8980	4.5221	72.237
180.0	0.8757	14.9383	4.5904	73.329
180.5	0.8778	14.9436	4.5993	73.471
181.0	0.8939	14.9823	4.6650	74.520
181.5	0.9183	15.0410	4.7644	76.109
182.0	0.9094	15.0196	4.7281	75.528
182.5	0.9413	15.0965	4.8584	77.610
183.0	0.9319	15.0738	4.8201	76.998
183.5	0.9285	15.0656	4.8061	76.774
184.0	0.9330	15.0763	4.8243	77.065
184.5	0.9386	15.0900	4.8474	77.434
185.0	0.9595	15.1402	4.9326	78.796
185.5	0.9188	15.0422	4.7665	76.142
186.0	0.8785	14.9452	4.6021	73.516
186.5	0.9103	15.0217	4.7316	75.585
187.0	0.9053	15.0097	4.7114	75.262
187.5	0.9402	15.0937	4.8537	77.535
188.0	0.9618	15.1456	4.9417	78.941
188.5	0.9502	15.1179	4.8947	78.190
189.0	0.9667	15.1576	4.9620	79.265
189.5	0.9840	15.1992	5.0325	80.392
190.0	1.0403	15.3347	5.2623	84.062
190.5	1.0809	15.4324	5.4278	86.706
191.0	1.0936	15.4631	5.4798	87.536
191.5	1.1010	15.4809	5.5101	88.020
192.0	1.0839	15.4396	5.4401	86.902
192.5	1.0592	15.3803	5.3395	85.296
193.0	1.0766	15.4220	5.4102	86.425
193.5	1.1005	15.4796	5.5078	87.985
194.0	1.1028	15.4853	5.5174	88.138
194.5	1.0867	15.4465	5.4517	87.087
195.0	1.0695	15.4051	5.3815	85.967
195.5	1.0539	15.3674	5.3176	84.946
196.0	1.0506	15.3596	5.3045	84.736
196.5	1.0544	15.3688	5.3199	84.983
197.0	1.0576	15.3765	5.3330	85.192
197.5	1.0583	15.3782	5.3359	85.238
198.0	1.0612	15.3850	5.3475	85.423
198.5	1.0627	15.3887	5.3538	85.524
199.0	1.0622	15.3875	5.3518	85.491
199.5	1.0639	15.3914	5.3584	85.597
200.0	1.0631	15.3897	5.3554	85.550
200.5	1.0788	15.4275	5.4196	86.575
201.0	1.1135	15.5110	5.5611	88.835
201.5	1.1527	15.6055	5.7211	91.392
202.0	1.1588	15.6199	5.7456	91.783
202.5	1.1387	15.5715	5.6636	90.473
203.0	1.1314	15.5540	5.6340	89.999
203.5	1.1438	15.5839	5.6845	90.807
204.0	1.1556	15.6123	5.7327	91.577
204.5	1.1919	15.6998	5.8810	93.946
205.0	1.1760	15.6615	5.8161	92.908
205.5	1.1301	15.5510	5.6288	89.918
206.0	1.1048	15.4899	5.5253	88.264
206.5	1.1053	15.4912	5.5274	88.298
207.0	1.1139	15.5119	5.5625	88.858
207.5	1.1175	15.5207	5.5774	89.096
208.0	1.1114	15.5060	5.5525	88.698
208.5	1.0963	15.4695	5.4906	87.709
209.0	1.0486	15.3546	5.2959	84.600
209.5	1.0444	15.3446	5.2790	84.329
210.0	1.0605	15.3834	5.3447	85.378
210.5	1.0497	15.3574	5.3007	84.675
211.0	1.0481	15.3535	5.2940	84.569
211.5	1.0423	15.3395	5.2703	84.191
212.0	1.0335	15.3183	5.2344	83.617
212.5	1.0313	15.3130	5.2254	83.472
213.0	1.0528	15.3649	5.3133	84.878
213.5	1.0842	15.4405	5.4415	86.925
214.0	1.1216	15.5304	5.5939	89.359
214.5	1.1573	15.6164	5.7396	91.687
215.0	1.1760	15.6614	5.8159	92.905
215.5	1.1622	15.6282	5.7597	92.008
216.0	1.1756	15.6605	5.8144	92.881
216.5	1.2021	15.7242	5.9225	94.608
217.0	1.2170	15.7603	5.9835	95.583
217.5	1.2176	15.7615	5.9856	95.617
218.0	1.1850	15.6832	5.8528	93.495
218.5	1.1488	15.5961	5.7052	91.138
219.0	1.0948	15.4660	5.4848	87.617
219.5	1.0672	15.3996	5.3722	85.818
220.0	1.0484	15.3542	5.2952	84.588
220.5	1.0303	15.3107	5.2215	83.411
221.0	0.9826	15.1957	5.0266	80.297
221.5	0.9514	15.1207	4.8995	78.267
222.0	0.9289	15.0664	4.8075	76.797
222.5	0.9115	15.0247	4.7368	75.668
223.0	0.9053	15.0096	4.7113	75.260
223.5	0.8745	14.9355	4.5856	73.252
224.0	0.8565	14.8922	4.5122	72.080
224.5	0.8733	14.9326	4.5808	73.175
225.0	0.8482	14.8722	4.4784	71.539
225.5	0.8455	14.8657	4.4673	71.363
226.0	0.8464	14.8678	4.4708	71.419
226.5	0.8534	14.8848	4.4997	71.880
227.0	0.8671	14.9178	4.5555	72.772
227.5	0.8544	14.8871	4.5035	71.941
228.0	0.8980	14.9921	4.6815	74.785
228.5	0.9137	15.0300	4.7458	75.812
229.0	0.9291	15.0671	4.8086	76.815
229.5	0.9562	15.1323	4.9191	78.579
230.0	0.9718	15.1698	4.9827	79.596
230.5	0.9850	15.2016	5.0366	80.457
231.0	0.9796	15.1887	5.0147	80.106
231.5	0.9775	15.1836	5.0060	79.969
232.0	0.9914	15.2171	5.0628	80.876
232.5	0.9869	15.2061	5.0442	80.579
233.0	1.0127	15.2683	5.1497	82.263
233.5	0.9933	15.2215	5.0704	80.996
234.0	0.9920	15.2185	5.0653	80.915
234.5	0.9978	15.2324	5.0888	81.291
235.0	0.9970	15.2306	5.0857	81.241
235.5	1.0330	15.3171	5.2324	83.584
236.0	1.0951	15.4667	5.4860	87.635
236.5	1.1471	15.5918	5.6979	91.021
237.0	1.1688	15.6442	5.7867	92.440
237.5	1.1693	15.6454	5.7888	92.472
238.0	1.1769	15.6637	5.8198	92.969
238.5	1.2186	15.7640	5.9898	95.684
239.0	1.2935	15.9443	6.2955	100.567
239.5	1.3629	16.1114	6.5786	105.089
240.0	1.3974	16.1945	6.7195	107.340
240.5	1.4231	16.2564	6.8245	109.017
241.0	1.4090	16.2225	6.7669	108.098
241.5	1.3884	16.1728	6.6828	106.753
242.0	1.4291	16.2708	6.8489	109.407
