/* DATA DESCRIPTION:
Citation:	Hodell, David A; Charles, Christopher D; Curtis, Jason H; Mortyn, P Graham; Ninnemann, Ulysses S; Venz, Kathryn A (2003): (Table T2) Stable oxygen and carbon isotope ratios of the benthic and planktonic foraminifera, carbonate content, and percent fragmentation of planktonic foraminifers for ODP Site 177-1089 in the Southern Ocean [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.218128, 
	In supplement to: Hodell, DA et al. (2003): Data Report: Oxygen isotope stratigraphy of ODP Leg 117 sites 1088, 1089, 1090, 1093, and 1094. In: Gersonde, R; Hodell, DA; Blum, P (eds.) Proceedings of the Ocean Drilling Program, Scientific Results, College Station, TX (Ocean Drilling Program), 177, 1-26, https://doi.org/10.2973/odp.proc.sr.177.120.2003
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: -40.936333 * LONGITUDE: 9.893983
	DATE/TIME START: 1997-12-19T00:00:00 * DATE/TIME END: 1997-12-19T00:00:00
	MINIMUM DEPTH, sediment/rock: -0.19 m * MAXIMUM DEPTH, sediment/rock: 94.94 m
Event(s):	177-1089 * LATITUDE: -40.936333 * LONGITUDE: 9.893983 * DATE/TIME: 1997-12-19T00:00:00 * ELEVATION: -4620.5 m * PENETRATION: 793.6 m * RECOVERY: 675.9 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg177 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 86 cores; 791.6 m cored; 2 m drilled; 85.4% recovery
Comment:	Depth is modified composite depth (mcd). Stable isotope analyses were conducted at the University of Florida (UF) Hole C, and Scripps Institution of Oceanography (SIO) Hole A and B. Carbonate contenet and fragmentation determined at the Unifersity of Florida (UF).
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Sample code/label (Sample label) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Globigerina bulloides, δ18O [‰ PDB] (G. bulloides δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Globigerina bulloides, δ13C [‰ PDB] (G. bulloides δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Cibicidoides spp., δ18O [‰ PDB] (Cibicidoides spp. δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Cibicidoides spp., δ13C [‰ PDB] (Cibicidoides spp. δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Calcium carbonate [%] (CaCO3) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Coulometric titration (Knap et al., 1996, IOC Manuals and Guides 29, UNESCO) (URI: hdl:10013/epic.27912.d001)
	Foraminifera, planktic, fragments [%] (Foram plankt fragm) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	9893 data points
*/
Depth sed [m]	Age [ka BP]	Sample label	G. bulloides δ18O [‰ PDB]	G. bulloides δ13C [‰ PDB]	Cibicidoides spp. δ18O [‰ PDB]	Cibicidoides spp. δ13C [‰ PDB]	CaCO3 [%]	Foram plankt fragm [%]
5.51	29.86	177-1089A-1-4,125-126.5	2.94	0.06	4.11	-1.12	27.0	13.7
5.56	29.99	177-1089A-1-4,130-131.5	3.06	0.29	4.07	-1.05	29.3	26.9
5.61	30.12	177-1089A-1-4,135-136.5	3.22	0.45				15.5
5.67	30.28	177-1089D-2-2,35-36.5	2.89					
5.72	30.41	177-1089D-2-2,40-41.5	3.26	0.45	4.08	-0.97	29.9	26.6
5.77	30.54	177-1089D-2-2,45-46.5	3.10	0.37	4.06	-0.97	26.4	37.7
5.82	30.67	177-1089D-2-2,50-51.5	3.35					36.6
5.87	30.80	177-1089D-2-2,55-56.5	3.43	0.38	3.98	-0.91	30.7	51.3
5.92	30.93	177-1089D-2-2,60-61.5	3.40	0.50	4.00	-0.86	35.0	37.9
5.97	31.06	177-1089D-2-2,65-66.5	3.45	0.59			33.1	46.8
6.02	31.19	177-1089D-2-2,70-71.5	3.33	0.65	3.98	-0.76	38.9	52.3
6.07	31.32	177-1089D-2-2,75-76.5	3.27	0.35	3.73	-1.12	39.0	42.6
6.12	31.45	177-1089D-2-2,80-81.5	3.22	0.46	4.03	-0.81	36.9	50.8
6.17	31.60	177-1089D-2-2,85-86.5	3.39	0.26	4.02	-0.72	41.3	38.0
6.22	31.87	177-1089D-2-2,90-91.5	3.16	0.39	3.96	-0.71	40.2	48.0
6.27	32.14	177-1089D-2-2,95-96.5	3.17	0.30	3.82	-0.68	42.0	40.8
6.32	32.41	177-1089D-2-2,100-101.5	3.32	0.35				51.1
6.37	32.68	177-1089D-2-2,105-106.5	3.34	0.65	3.93	-0.37	42.9	36.4
6.42	32.96	177-1089D-2-2,110-111.5	3.28	0.44	3.86	-0.74	40.0	48.3
6.47	33.23	177-1089D-2-2,115-116.5	2.86	-0.03	3.98	-0.89	42.7	39.1
6.52	33.50	177-1089D-2-2,120-121.5	3.20	0.41	3.93	-0.82	44.3	60.6
6.57	33.77	177-1089D-2-2,125-126.5	3.22	0.55	3.95	-0.62	44.6	60.6
6.62	34.05	177-1089D-2-2,130-131.5	3.12	0.52	4.03	-0.97	42.3	50.0
6.67	34.32	177-1089D-2-2,135-136.5	3.00	0.28	3.91	-0.58	40.4	46.9
6.72	34.59	177-1089D-2-2,140-141.5	3.19	0.34	3.92	-0.58	45.1	46.6
6.77	34.86	177-1089D-2-2,145-146.5	3.16	0.69				56.0
6.82	35.13	177-1089D-2-3,0-1.5	2.93	0.45				50.0
6.87	35.41	177-1089D-2-3,5-6.5	3.04	0.52	3.78	-0.53	47.4	60.3
6.92	35.68	177-1089D-2-3,10-11.5	2.94	0.08	3.84	-0.57	50.8	60.7
6.97	35.95	177-1089D-2-3,15-16.5	3.33	0.62	3.92	-0.40	53.3	56.4
7.02	36.22	177-1089D-2-3,20-21.5	3.05	0.69	3.96	-0.53	54.2	39.1
7.07	36.50	177-1089D-2-3,25-26.5	3.28	0.68	3.93	-0.47	51.1	35.3
7.12	36.75	177-1089D-2-3,30-31.5	3.26	0.78	3.85	-0.28	52.1	46.3
7.17	36.99	177-1089D-2-3,35-36.5	3.26	0.56	3.86	-0.67	43.2	54.0
7.22	37.24	177-1089D-2-3,40-41.5	3.07	0.68	3.86	-0.56	39.1	59.5
7.27	37.49	177-1089D-2-3,45-46.5	3.09	0.62	3.80	-0.66	39.4	71.8
7.32	37.74	177-1089D-2-3,50-51.5	2.89	0.43				55.1
7.37	37.99	177-1089D-2-3,55-56.5	3.09	0.67	4.03	-0.79	40.9	60.5
7.42	38.23	177-1089D-2-3,60-61.5	3.15	0.50	3.92	-0.75	41.0	49.2
7.47	38.48	177-1089D-2-3,65-66.5	2.87	-0.05	3.82	-0.51	42.6	
7.52	38.73	177-1089D-2-3,70-71.5	2.64	-0.17	3.92	-0.45	45.3	78.6
7.57	38.98	177-1089D-2-3,75-76.5	2.91	0.25	3.84	-0.38	45.4	59.2
7.62	39.23	177-1089D-2-3,80-81.5	3.45	0.34	3.90	-0.66	44.6	58.5
7.67	39.47	177-1089D-2-3,85-86.5	3.20	0.61	3.93	-0.57	45.7	50.2
7.72	39.72	177-1089D-2-3,90-91.5	2.96	0.24	3.87	-0.88	44.9	52.8
7.77	39.97	177-1089D-2-3,95-96.5	3.02	0.43	3.92	-0.60	44.9	42.5
7.82	40.22	177-1089D-2-3,100-101.5	3.20	0.34				59.1
7.87	40.47	177-1089D-2-3,105-106.5	3.21	0.61	3.87	-0.81	40.5	48.8
7.92	40.71	177-1089D-2-3,110-111.5	3.02	0.40			40.1	
7.97	40.96	177-1089D-2-3,115-116.5	2.95	0.84	3.83	-0.68	42.3	57.7
8.02	41.22	177-1089D-2-3,120-121.5	2.94	0.44	3.89	-0.77	43.5	62.3
8.07	41.50	177-1089D-2-3,125-126.5	3.22	0.66	3.79	-0.34	43.7	57.8
8.12	41.77	177-1089D-2-3,130-131.5	3.37	0.59	3.91	-0.37	43.2	47.6
8.17	42.05	177-1089D-2-3,135-136.5	3.17	0.72	3.83	-0.46	37.8	63.1
8.22	42.32	177-1089D-2-3,140-141.5	3.03	0.73			48.8	63.7
8.27	42.60	177-1089D-2-3,145-146.5	2.90	0.53				58.6
8.32	42.87	177-1089D-2-4,0-1.5	2.96	0.56				44.5
8.37	43.15	177-1089D-2-4,5-6.5	3.01	0.43	3.86	-0.75	43.8	54.1
8.42	43.42	177-1089D-2-4,10-11.5	2.97	0.43	3.97	-1.16	45.0	
8.47	43.70	177-1089D-2-4,15-16.5	3.32	0.76	3.80	-0.46	51.3	43.8
8.52	43.97	177-1089D-2-4,20-21.5	3.08	0.37	3.76	-0.55	51.0	31.4
8.57	44.25	177-1089D-2-4,25-26.5	2.89	0.22	3.83	-0.42	52.9	24.5
8.62	44.52	177-1089D-2-4,30-31.5	2.57	0.43	3.76	-0.47	49.6	24.8
8.67	44.80	177-1089D-2-4,35-36.5	2.80	0.57	3.86	-0.49	43.3	45.7
8.72	45.07	177-1089D-2-4,40-41.5	2.88	0.48	3.83	-0.40	40.3	46.8
8.77	45.35	177-1089D-2-4,45-46.5	2.92	0.28	3.75	-0.51	36.5	30.4
8.82	45.62	177-1089D-2-4,50-51.5	2.80	0.34				38.8
8.87	45.90	177-1089D-2-4,55-56.5	2.67	0.46	3.78	-0.67	36.5	47.1
8.92	46.17	177-1089D-2-4,60-61.5	2.88	0.54	3.76	-0.72	39.7	44.2
8.97	46.47	177-1089D-2-4,65-66.5	2.66	-0.04			43.0	46.9
9.02	46.76	177-1089D-2-4,70-71.5			3.87	-0.81	44.3	50.7
9.07	47.05	177-1089D-2-4,75-76.5	3.20	0.47	3.84	-0.80	42.0	47.3
9.12	47.34	177-1089D-2-4,80-81.5	3.11		3.84	-0.59	41.8	46.2
9.17	47.64	177-1089D-2-4,85-86.5	3.12		3.91	-0.68	44.6	63.0
9.22	47.93	177-1089D-2-4,90-91.5	2.99				49.3	55.3
9.27	48.22	177-1089D-2-4,95-96.5	3.28		3.84	-0.45	48.7	44.6
9.32	48.51	177-1089D-2-4,100-101.5	3.13	0.67				44.9
9.37	48.80	177-1089D-2-4,105-106.5	3.24		3.80	-0.57	51.2	46.8
9.42	49.10	177-1089D-2-4,110-111.5	3.23		3.87	-0.54	50.3	34.5
9.47	49.39	177-1089D-2-4,115-116.5	3.11		3.77	-0.42	47.5	26.2
9.52	49.68	177-1089D-2-4,120-121.5	3.06		3.74	-0.25	55.7	24.9
9.57	49.97	177-1089D-2-4,125-126.5	3.03		3.86	-0.54	56.5	21.2
9.62	50.26	177-1089D-2-4,130-131.5	3.09		3.74	-0.51	56.7	21.1
9.67	50.56	177-1089D-2-4,135-136.5	2.90		3.75	-0.65	57.6	16.4
9.72	50.85	177-1089D-2-4,140-141.5	2.99		3.76	-0.28	57.3	16.2
9.77	51.14	177-1089D-2-4,145-146.5	2.89	0.36				19.1
9.82	51.43	177-1089D-2-5,0-1.5	2.87	0.51				58.6
9.87	51.73	177-1089D-2-5,5-6.5	2.80		3.76	-0.71	52.9	35.3
9.92	52.03	177-1089D-2-5,10-11.5	3.00		3.78	-0.44	49.5	53.5
9.97	52.33	177-1089D-2-5,15-16.5	2.86		3.81	-0.66	52.8	41.2
10.02	52.62	177-1089D-2-5,20-21.5	2.91		3.88	-0.79	52.5	38.6
10.07	52.92	177-1089D-2-5,25-26.5	3.04		3.90	-0.70	50.5	35.8
10.12	53.22	177-1089D-2-5,30-31.5	2.92		3.87	-0.67	46.4	36.9
10.17	53.52	177-1089D-2-5,35-36.5	3.06		3.80	-0.65	56.9	24.7
10.22	53.82	177-1089D-2-5,40-41.5	3.03		3.88	-0.42	55.2	23.9
10.27	54.11	177-1089D-2-5,45-46.5	2.83		3.78	-0.69	55.4	28.4
10.32	54.41	177-1089D-2-5,50-51.5	2.90	1.03	3.69	-0.25		22.6
10.37	54.71	177-1089D-2-5,55-56.5	3.00		3.81	-0.45	53.3	22.6
10.42	55.01	177-1089D-2-5,60-61.5	2.75		3.88	-0.68	53.7	26.0
10.47	55.30	177-1089D-2-5,65-66.5			3.82	-0.44	52.8	29.3
10.52	55.60	177-1089D-2-5,70-71.5	2.79				44.5	35.6
10.57	55.90	177-1089D-2-5,75-76.5	3.01		3.82	-0.74	38.2	41.7
10.62	56.20	177-1089D-2-5,80-81.5	2.85		3.77	-0.65	40.8	35.3
10.67	56.50	177-1089D-2-5,85-86.5	2.86		3.82	-0.62	39.8	34.4
10.72	56.79	177-1089D-2-5,90-91.5	2.98		3.78	-0.37	31.3	64.8
10.77	57.11	177-1089D-2-5,95-96.5	3.00		3.80	-0.67	30.9	61.7
10.82	57.44	177-1089D-2-5,100-101.5	2.88	0.27				
10.87	57.77	177-1089D-2-5,105-106.5	2.89				29.1	58.4
10.92	58.10	177-1089D-2-5,110-111.5	3.24		3.82	-0.80	25.3	70.4
10.97	58.43	177-1089D-2-5,115-116.5	2.92		3.75	-0.80	23.8	47.4
11.02	58.76	177-1089D-2-5,120-121.5	2.74		3.66	-0.78	22.0	21.7
11.07	59.09	177-1089D-2-5,125-126.5	3.00				19.2	44.0
11.12	59.42	177-1089D-2-5,130-131.5	2.94	0.13				43.0
