/* DATA DESCRIPTION:
Citation:	Hodell, David A; Charles, Christopher D; Curtis, Jason H; Mortyn, P Graham; Ninnemann, Ulysses S; Venz, Kathryn A (2003): (Table T7) Stable oxygen and carbon isotope ratios of Neogloboquadrina pachyderma (sinistral) at ODP Site 177-1094 in the Southern Ocean [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.218134, 
	In supplement to: Hodell, DA et al. (2003): Data Report: Oxygen isotope stratigraphy of ODP Leg 117 sites 1088, 1089, 1090, 1093, and 1094. In: Gersonde, R; Hodell, DA; Blum, P (eds.) Proceedings of the Ocean Drilling Program, Scientific Results, College Station, TX (Ocean Drilling Program), 177, 1-26, https://doi.org/10.2973/odp.proc.sr.177.120.2003
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: -53.180350 * LONGITUDE: 5.130333
	DATE/TIME START: 1998-01-20T00:00:00 * DATE/TIME END: 1998-01-20T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.000 m * MAXIMUM DEPTH, sediment/rock: 90.970 m
Event(s):	177-1094 * LATITUDE: -53.180350 * LONGITUDE: 5.130333 * DATE/TIME: 1998-01-20T00:00:00 * ELEVATION: -2807.3 m * PENETRATION: 441.8 m * RECOVERY: 306.1 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg177 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 46 cores; 421.7 m cored; 20.1 m drilled; 72.6% recovery
Comment:	Depth is composite depth (mcd). Stable isotope analyses were conducted at the University of Florida (UF)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Sample code/label (Sample label) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Neogloboquadrina pachyderma sinistral, δ18O [‰ PDB] (N. pachyderma s δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Neogloboquadrina pachyderma sinistral, δ13C [‰ PDB] (N. pachyderma s δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	3780 data points
*/
Depth sed [m]	Age [ka BP]	Sample label	N. pachyderma s δ18O [‰ PDB]	N. pachyderma s δ13C [‰ PDB]
15.170	47.250	177-1094B-2-4,15-17	4.23	0.25
15.220	47.480	177-1094B-2-4,20-22	4.20	0.14
15.270	47.710	177-1094B-2-4,25-27	4.25	0.16
15.370	48.170	177-1094B-2-4,35-37	4.20	0.12
15.420	48.400	177-1094B-2-4,40-42	4.16	0.16
15.470	48.630	177-1094B-2-4,45-47	4.33	0.23
15.520	48.860	177-1094B-2-4,50-52	4.20	0.18
15.570	49.090	177-1094B-2-4,55-57	4.25	0.25
15.620	49.320	177-1094B-2-4,60-62	4.17	0.39
15.670	49.540	177-1094B-2-4,65-67	4.20	0.29
15.720	49.770	177-1094B-2-4,70-72	4.33	0.22
15.770	50.000	177-1094B-2-4,75-77	4.38	0.30
15.820	50.230	177-1094B-2-4,80-82	4.38	0.19
15.870	50.460	177-1094B-2-4,85-87	4.37	0.30
15.920	50.690	177-1094B-2-4,90-92	4.25	0.20
15.970	50.920	177-1094B-2-4,95-97	4.25	0.21
16.020	51.150	177-1094B-2-4,100-102	4.26	0.27
16.070	51.380	177-1094B-2-4,105-107	4.26	0.39
16.120	51.600	177-1094B-2-4,110-112	4.33	0.42
16.170	51.830	177-1094B-2-4,115-117	4.24	0.30
16.220	52.060	177-1094B-2-4,120-122	4.26	0.19
16.270	52.290	177-1094B-2-4,125-127	4.25	0.28
16.320	52.520	177-1094B-2-4,130-132	4.29	0.24
16.370	52.750	177-1094B-2-4,135-137	4.18	0.14
16.420	52.980	177-1094B-2-4,140-142	4.15	0.18
16.470	53.210	177-1094B-2-4,145-147	4.22	0.13
16.520	53.440	177-1094B-2-5,0-2	4.31	0.09
16.570	53.670	177-1094B-2-5,5-7	4.26	-0.04
16.620	53.890	177-1094B-2-5,10-12	4.30	-0.01
16.670	54.120	177-1094B-2-5,15-17	4.32	0.16
16.720	54.350	177-1094B-2-5,20-22	4.20	0.01
16.770	54.580	177-1094B-2-5,25-27	4.28	0.19
16.820	54.810	177-1094B-2-5,30-32	4.38	-0.01
16.870	55.040	177-1094B-2-5,35-37	4.33	0.00
16.920	55.270	177-1094B-2-5,40-42	4.24	0.19
16.970	55.500	177-1094B-2-5,45-47	4.23	0.03
17.020	55.730	177-1094B-2-5,50-52	4.27	0.08
17.070	55.950	177-1094B-2-5,55-57	4.30	0.07
17.120	56.180	177-1094B-2-5,60-62	4.21	-0.01
17.170	56.410	177-1094B-2-5,65-67	4.23	0.13
17.220	56.640	177-1094B-2-5,70-72	4.19	0.17
17.270	56.870	177-1094B-2-5,75-77	4.24	-0.12
17.320	57.100	177-1094B-2-5,80-82	4.28	0.04
17.370	57.330	177-1094B-2-5,85-87	4.28	0.24
17.420	57.560	177-1094B-2-5,90-92	4.17	0.01
17.470	57.790	177-1094B-2-5,95-97	4.22	-0.06
17.520	58.010	177-1094B-2-5,100-102	4.30	0.15
17.570	58.240	177-1094B-2-5,105-107	4.25	0.25
17.620	58.470	177-1094B-2-5,110-112	4.18	0.10
17.670	58.700	177-1094B-2-5,115-117	4.37	0.13
17.720	58.930	177-1094B-2-5,120-122	4.58	0.01
17.770	59.700	177-1094B-2-5,125-127	4.71	0.05
18.370	68.950	177-1094A-3-2,35-37	4.82	0.26
18.420	69.720	177-1094A-3-2,40-42	4.36	0.18
18.720	74.340	177-1094A-3-2,70-72	3.92	0.08
18.920	75.320	177-1094A-3-2,90-92	3.65	0.37
19.020	75.810	177-1094A-3-2,100-102	3.97	0.64
19.070	76.060	177-1094A-3-2,105-107	3.83	0.43
19.370	77.530	177-1094A-3-2,135-137	3.53	0.43
19.420	77.780	177-1094A-3-2,140-142	3.41	0.60
19.470	78.020	177-1094A-3-2,145-147	3.39	0.52
19.520	78.270	177-1094A-3-3,0-2	3.60	0.38
19.570	78.510	177-1094A-3-3,5-7	3.48	0.61
19.620	78.760	177-1094A-3-3,10-12	3.40	0.55
19.670	79.010	177-1094A-3-3,15-17	3.25	0.44
19.720	79.250	177-1094A-3-3,20-22	3.33	0.44
19.820	80.430	177-1094A-3-3,30-32	3.41	0.36
19.870	81.020	177-1094A-3-3,35-37	3.24	0.56
19.920	81.610	177-1094A-3-3,40-42	3.34	0.70
20.620	89.870	177-1094A-3-3,110-112	3.52	0.70
20.670	90.460	177-1094A-3-3,115-117	3.40	0.65
22.220	108.740	177-1094A-3-4,120-122	3.26	0.76
22.320	109.920	177-1094A-3-4,130-132	3.12	0.72
22.370	110.510	177-1094A-3-4,135-137	3.43	0.47
22.520	112.280	177-1094A-3-5,0-2	3.36	0.76
22.570	112.540	177-1094A-3-5,5-7	2.73	0.48
22.920	114.320	177-1094A-3-5,40-42	2.71	0.59
23.120	115.340	177-1094A-3-5,60-62	2.79	0.19
23.220	115.860	177-1094A-3-5,70-72	3.01	0.25
23.420	116.880	177-1094A-3-5,90-92	2.90	0.52
23.670	118.150	177-1094A-3-5,115-117	2.76	0.43
23.820	118.920	177-1094A-3-5,130-132	3.19	0.40
23.870	119.180	177-1094A-3-5,135-137	2.85	0.27
23.910	119.380	177-1094C-3-3,75-77	2.65	0.21
23.960	119.640	177-1094C-3-3,80-82	2.95	0.11
24.010	119.890	177-1094C-3-3,85-87	2.92	0.56
24.060	120.150	177-1094C-3-3,90-92	2.81	0.34
24.110	120.400	177-1094C-3-3,95-97	2.73	0.31
24.160	120.660	177-1094C-3-3,100-102	2.81	0.31
24.210	120.910	177-1094C-3-3,105-107	2.80	0.36
24.260	121.170	177-1094C-3-3,110-112	2.97	0.23
24.310	121.420	177-1094C-3-3,115-117	2.90	0.22
24.360	121.680	177-1094C-3-3,120-122	2.75	0.26
24.410	121.930	177-1094C-3-3,125-127	2.66	0.22
24.510	122.420	177-1094C-3-3,135-137	2.73	0.04
24.560	122.640	177-1094C-3-3,140-142	2.60	0.12
24.610	122.870	177-1094C-3-3,145-147	2.66	0.25
24.660	123.100	177-1094C-3-4,0-2	2.58	0.13
24.710	123.320	177-1094C-3-4,5-7	2.75	0.16
24.760	123.550	177-1094C-3-4,10-12	3.02	0.15
24.810	123.780	177-1094C-3-4,15-17	3.05	0.28
24.860	124.000	177-1094C-3-4,20-22	3.12	0.20
24.910	124.230	177-1094C-3-4,25-27	3.05	0.12
24.960	124.460	177-1094C-3-4,30-32	2.79	0.23
25.010	124.680	177-1094C-3-4,35-37	3.01	0.13
25.060	124.910	177-1094C-3-4,40-42	2.86	0.07
25.110	125.140	177-1094C-3-4,45-47	2.99	-0.02
25.160	125.360	177-1094C-3-4,50-52	3.15	0.03
25.210	125.590	177-1094C-3-4,55-57	3.06	0.16
25.260	125.820	177-1094C-3-4,60-62	3.35	-0.10
25.310	126.040	177-1094C-3-4,65-67	3.33	0.10
25.360	126.270	177-1094C-3-4,70-72	3.23	0.08
25.410	126.500	177-1094C-3-4,75-77	3.28	0.02
25.460	126.720	177-1094C-3-4,80-82	3.50	-0.05
25.510	126.950	177-1094C-3-4,85-87	3.16	0.00
25.560	127.180	177-1094C-3-4,90-92	3.44	0.03
25.760	128.080	177-1094C-3-4,110-112	3.45	0.09
25.810	128.310	177-1094C-3-4,115-117	3.42	0.03
26.060	128.940	177-1094C-3-4,140-142	3.73	0.14
26.210	129.320	177-1094C-3-5,5-7	3.89	0.00
26.260	129.450	177-1094C-3-5,10-12	3.96	0.11
26.310	129.570	177-1094C-3-5,15-17	3.73	-0.09
26.360	129.700	177-1094C-3-5,20-22	3.86	-0.02
26.410	129.830	177-1094C-3-5,25-27	3.65	-0.03
